PRISM
=====

Version: 4.4
Date: Wed Jul 11 05:38:46 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 1.11111e-09 -maxiters 100000000 -power -absolute -const k=900 ../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm -ss -exportss ../../CZK_project/Output/firstRejuvenation_1E-6_dynamic/hybrid/ph_900_1E-6

Parsing model file "../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm"...

Type:        CTMC
Modules:     firstRejuvenation trigger 
Variables:   status avail maintenance i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=900

Computing reachable states...

Reachability (BFS): 1801 iterations in 0.04 seconds (average 0.000024, setup 0.00)

Time for model construction: 0.13 seconds.

Type:        CTMC
States:      4500 (1 initial)
Transitions: 6300

Rate matrix: 351 nodes (7 terminal), 6300 minterms, vars: 14r/14c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:4500

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=410] [8.0 Kb]
Building hybrid MTBDD matrix... [levels=14, nodes=466] [21.8 KB]
Iteration 5082005: max diff=0.000000, 155.12 sec so far
Iteration 5248221: max diff=0.000000, 160.13 sec so far
Iteration 5415720: max diff=0.000000, 165.13 sec so far
Iteration 5580158: max diff=0.000000, 170.14 sec so far
Iteration 5744583: max diff=0.000000, 175.14 sec so far
Iteration 5905445: max diff=0.000000, 180.14 sec so far
Iteration 6072906: max diff=0.000000, 185.15 sec so far
Iteration 6240276: max diff=0.000000, 190.15 sec so far
Iteration 6407712: max diff=0.000000, 195.16 sec so far
Iteration 6575363: max diff=0.000000, 200.16 sec so far
Iteration 6738566: max diff=0.000000, 205.16 sec so far
Iteration 6903800: max diff=0.000000, 210.17 sec so far
Iteration 7069882: max diff=0.000000, 215.17 sec so far
Iteration 7237477: max diff=0.000000, 220.18 sec so far
Iteration 7402911: max diff=0.000000, 225.18 sec so far
Iteration 7566549: max diff=0.000000, 230.18 sec so far
Iteration 7733668: max diff=0.000000, 235.19 sec so far
Iteration 7900956: max diff=0.000000, 240.19 sec so far
Iteration 8067370: max diff=0.000000, 245.20 sec so far
Iteration 8233043: max diff=0.000000, 250.20 sec so far
Iteration 8398333: max diff=0.000000, 255.20 sec so far
Iteration 8565179: max diff=0.000000, 260.21 sec so far
Iteration 8732162: max diff=0.000000, 265.21 sec so far
Iteration 8898422: max diff=0.000000, 270.22 sec so far
Iteration 9065437: max diff=0.000000, 275.22 sec so far
Iteration 9232272: max diff=0.000000, 280.22 sec so far
Iteration 9399052: max diff=0.000000, 285.23 sec so far
Iteration 9566075: max diff=0.000000, 290.23 sec so far
Iteration 9733116: max diff=0.000000, 295.24 sec so far
Iteration 9899539: max diff=0.000000, 300.24 sec so far
Iteration 10066093: max diff=0.000000, 305.24 sec so far
Iteration 10232839: max diff=0.000000, 310.25 sec so far
Iteration 10398826: max diff=0.000000, 315.25 sec so far
Iteration 10565752: max diff=0.000000, 320.26 sec so far
Iteration 10732026: max diff=0.000000, 325.26 sec so far
Iteration 10900056: max diff=0.000000, 330.26 sec so far
Iteration 11066538: max diff=0.000000, 335.27 sec so far
Iteration 11233526: max diff=0.000000, 340.27 sec so far
Iteration 11399921: max diff=0.000000, 345.28 sec so far
Iteration 11566742: max diff=0.000000, 350.28 sec so far
Iteration 11733966: max diff=0.000000, 355.28 sec so far
Iteration 11900837: max diff=0.000000, 360.29 sec so far
Iteration 12068119: max diff=0.000000, 365.29 sec so far
Iteration 12234872: max diff=0.000000, 370.30 sec so far
Iteration 12402646: max diff=0.000000, 375.30 sec so far
Iteration 12569632: max diff=0.000000, 380.30 sec so far
Iteration 12737231: max diff=0.000000, 385.31 sec so far
Iteration 12905300: max diff=0.000000, 390.31 sec so far
Iteration 13072215: max diff=0.000000, 395.32 sec so far
Iteration 13239041: max diff=0.000000, 400.32 sec so far
Iteration 13405840: max diff=0.000000, 405.32 sec so far
Iteration 13573012: max diff=0.000000, 410.33 sec so far
Iteration 13741374: max diff=0.000000, 415.33 sec so far
Iteration 13908512: max diff=0.000000, 420.34 sec so far
Iteration 14075204: max diff=0.000000, 425.34 sec so far
Iteration 14241617: max diff=0.000000, 430.34 sec so far
Iteration 14407987: max diff=0.000000, 435.35 sec so far
Iteration 14574072: max diff=0.000000, 440.35 sec so far
Iteration 14741132: max diff=0.000000, 445.36 sec so far
Iteration 14907604: max diff=0.000000, 450.36 sec so far
Iteration 15074516: max diff=0.000000, 455.36 sec so far
Iteration 15241697: max diff=0.000000, 460.37 sec so far
Iteration 15408270: max diff=0.000000, 465.37 sec so far
Iteration 15574486: max diff=0.000000, 470.38 sec so far
Iteration 15742062: max diff=0.000000, 475.38 sec so far
Iteration 15909472: max diff=0.000000, 480.38 sec so far
Iteration 16077169: max diff=0.000000, 485.39 sec so far
Iteration 16243917: max diff=0.000000, 490.39 sec so far
Iteration 16409844: max diff=0.000000, 495.40 sec so far
Iteration 16577908: max diff=0.000000, 500.40 sec so far
Iteration 16744455: max diff=0.000000, 505.40 sec so far
Iteration 16911608: max diff=0.000000, 510.41 sec so far
Iteration 17080222: max diff=0.000000, 515.41 sec so far
Iteration 17247457: max diff=0.000000, 520.42 sec so far
Iteration 17414745: max diff=0.000000, 525.42 sec so far
Iteration 17581250: max diff=0.000000, 530.42 sec so far
Iteration 17748099: max diff=0.000000, 535.43 sec so far
Iteration 17915467: max diff=0.000000, 540.43 sec so far
Iteration 18082593: max diff=0.000000, 545.44 sec so far
Iteration 18249965: max diff=0.000000, 550.44 sec so far
Iteration 18416385: max diff=0.000000, 555.44 sec so far
Iteration 18584265: max diff=0.000000, 560.45 sec so far
Iteration 18751376: max diff=0.000000, 565.45 sec so far
Iteration 18918280: max diff=0.000000, 570.46 sec so far
Iteration 19085492: max diff=0.000000, 575.46 sec so far
Iteration 19253642: max diff=0.000000, 580.46 sec so far
Iteration 19421057: max diff=0.000000, 585.47 sec so far
Iteration 19587951: max diff=0.000000, 590.47 sec so far
Iteration 19755474: max diff=0.000000, 595.48 sec so far
Iteration 19923712: max diff=0.000000, 600.48 sec so far
Iteration 20092420: max diff=0.000000, 605.48 sec so far
Iteration 20258820: max diff=0.000000, 610.49 sec so far
Iteration 20427180: max diff=0.000000, 615.49 sec so far
Iteration 20594645: max diff=0.000000, 620.50 sec so far
Iteration 20762503: max diff=0.000000, 625.50 sec so far
Iteration 20929236: max diff=0.000000, 630.50 sec so far
Iteration 21096190: max diff=0.000000, 635.51 sec so far
Iteration 21263044: max diff=0.000000, 640.51 sec so far
Iteration 21430250: max diff=0.000000, 645.52 sec so far
Iteration 21598736: max diff=0.000000, 650.52 sec so far
Iteration 21764920: max diff=0.000000, 655.52 sec so far
Iteration 21931868: max diff=0.000000, 660.53 sec so far
Iteration 22099806: max diff=0.000000, 665.53 sec so far
Iteration 22266730: max diff=0.000000, 670.54 sec so far
Iteration 22434169: max diff=0.000000, 675.54 sec so far
Iteration 22601287: max diff=0.000000, 680.54 sec so far
Iteration 22766427: max diff=0.000000, 685.55 sec so far
Iteration 22931612: max diff=0.000000, 690.55 sec so far
Iteration 23098331: max diff=0.000000, 695.56 sec so far
Iteration 23263837: max diff=0.000000, 700.56 sec so far
Iteration 23425911: max diff=0.000000, 705.56 sec so far
Iteration 23590780: max diff=0.000000, 710.57 sec so far
Iteration 23757950: max diff=0.000000, 715.57 sec so far
Iteration 23922646: max diff=0.000000, 720.58 sec so far
Iteration 24087642: max diff=0.000000, 725.58 sec so far
Iteration 24252171: max diff=0.000000, 730.58 sec so far
Iteration 24419164: max diff=0.000000, 735.59 sec so far
Iteration 24583630: max diff=0.000000, 740.59 sec so far
Iteration 24748388: max diff=0.000000, 745.60 sec so far
Iteration 24913854: max diff=0.000000, 750.60 sec so far
Iteration 25078253: max diff=0.000000, 755.60 sec so far
Iteration 25244698: max diff=0.000000, 760.61 sec so far
Iteration 25412435: max diff=0.000000, 765.61 sec so far
Iteration 25579363: max diff=0.000000, 770.62 sec so far
Iteration 25744633: max diff=0.000000, 775.62 sec so far
Iteration 25905982: max diff=0.000000, 780.62 sec so far
Iteration 26073447: max diff=0.000000, 785.63 sec so far
Iteration 26241324: max diff=0.000000, 790.63 sec so far
Iteration 26408782: max diff=0.000000, 795.64 sec so far
Iteration 26574240: max diff=0.000000, 800.64 sec so far
Iteration 26740323: max diff=0.000000, 805.64 sec so far

Power method: 26764034 iterations in 806.38 seconds (average 0.000030, setup 0.00)

Printing steady-state probabilities in plain text format to file "../../CZK_project/Output/firstRejuvenation_1E-6_dynamic/hybrid/ph_900_1E-6"...

Time for steady-state probability computation: 818.383 seconds.

